[7, 2, 3, 3, 36, 2, 2, 2, -9, -9, -6, -9, -6, -9, -9]
[9, 43, 4, 2, 2, 2, 3, 7, -10, -11, -8, -11, -10, -11, -11]
[21, 1, 70, 3, 0, 0, 3, 9, -16, -6, -14, -21, -14, -21, -15]
[3, 0, 0, 0, 0, 0, 0, 9, -1, -2, -1, -1, -1, -3, -3]
[30, 5, -8, 2, 8, 6, 0, 1, -4, -15, -15, -22, 48, -20, -16]
[14, -5, -5, -4, -10, -1, -6, -11, 20, 14, 3, 23, 11, 22, 20]
[8, 2, 1, 24, 0, 0, 1, 5, -8, -6, -5, -8, -5, -8, -1]
[26, 6, 5, 6, 24, 3, 4, 3, -22, -29, 68, -28, -21, -24, -21]
[49, 2, 2, -6, 4, 3, 1, -17, -13, 34, -17, -26, -12, 1, -5]
[24, 0, 5, 5, -1, 1, 2, 19, -19, -14, -13, 48, -17, -23, -17]
[0, -2, -3, -1, -6, -2, -2, -8, 15, 17, 12, 22, 15, 20, 17]
[62, -16, -15, -14, -16, -1, -4, -17, 5, 3, 1, 6, 2, 15, 14]
[16, 6, -1, -1, 3, -5, -1, 0, 12, -7, -10, -8, 2, -5, -1]
[19, -2, 6, -1, 4, -1, -1, 0, -7, -10, -11, -14, 17, -8, 9]
[20, -1, -4, -1, -1, -2, -5, -3, 7, 7, 9, -4, -11, 7, 11]
[9, 10, 3, 1, 1, 1, 3, 3, 21, -8, -8, -10, -8, -10, -8]
[17, 1, -3, -4, -1, -1, 0, -3, -7, -2, 1, -5, 7, 1, 2]
[15, -6, -4, -1, -2, -1, -7, -3, 12, 11, -5, 13, 11, 6, 8]
[9, 1, 1, 1, 9, 5, 4, 0, -8, -8, -4, 16, -8, -9, -9]
[11, -1, -6, -2, -5, 3, 3, -5, 11, 7, -4, 7, 3, 7, 11]
[14, -5, -5, -5, -2, 0, -1, 0, -1, 4, 5, 2, 3, 5, 4]
[41, -12, -7, -4, -12, -3, -1, -12, 9, 1, 5, 3, -3, 9, 8]
[10, 4, 1, 0, 2, 1, 0, 0, -3, -3, -3, -5, -3, 9, -10]
[9, 0, 1, 1, 2, 0, 2, 8, -5, -8, -5, 19, -7, -8, -9]
[25, 8, 7, 1, 1, 3, 12, 1, -17, -17, -7, 38, -12, -26, -17]
[21, -2, -2, -4, -1, -4, -3, -5, 2, 4, 1, -1, 3, -5, 4]
[10, 3, -2, 4, 0, -1, -1, 8, -5, -5, -8, -6, 2, 7, -6]
[12, -3, -3, 0, -3, -3, -1, -5, 1, 5, 3, 3, 5, 4, 2]
[11, 1, 2, 6, -2, 2, 2, -2, -1, 6, -6, -6, -7, -5, -1]
[20, -3, 4, -3, 0, -1, -3, -4, -5, 3, -1, -6, -4, 5, -2]
[8, -2, 0, -2, 5, 1, 4, 1, 2, -3, -6, -3, 0, 0, -4]
[18, -7, 0, -2, -9, -1, -2, -9, 8, 3, 4, 12, 5, 10, 7]
[14, -2, -3, -2, -1, -5, -1, -6, 6, 6, 4, 5, -1, 5, 4]
[7, 2, 0, 0, 0, 1, 1, 3, -5, -1, 0, 7, -5, -7, -3]
[10, 1, 2, 5, 6, 1, 0, 0, -7, -9, -7, -10, 9, -10, 9]
[0, -1, -1, -2, 0, 0, -2, 0, 5, 6, 2, 6, 4, 6, 6]
[3, -1, -3, -1, -3, 0, 0, -2, 5, 4, 1, 6, 5, 6, 5]
[12, 4, 1, -1, -2, 1, 1, -2, -9, 1, 2, -7, 1, -3, 1]
[4, -1, 0, 0, -1, -1, -1, -2, 2, 2, 1, 2, 2, 2, 0]
[10, -3, -1, 0, -7, -1, -4, -8, 11, 7, 2, 13, 5, 13, 9]
[12, 1, -2, -1, 0, -2, 0, 5, -3, -5, -3, 14, -3, -6, -7]
[12, 1, 6, 2, 11, 1, 7, 1, -12, -10, -9, 22, -8, -11, -13]
[9, 2, 4, 2, 3, 3, 8, 5, -7, 13, -10, -10, -11, -7, -4]
[7, -1, -1, 2, 1, -1, -1, 1, 0, -2, 1, -3, -4, -1, 2]
[1, -1, 0, 0, -1, 0, 0, -1, 1, 1, 1, 2, 1, 2, 1]
[0, 0, -1, 0, -1, 0, 0, -1, 2, 2, 1, 3, 2, 3, 2]
